id,q#,chapter,type,subject,order,q_se,q_en,ans_se,ans_en,q_alt_se,q_alt_en,ans_alt_se,ans_alt_en
283,,9,essay,TRN,,Nämn ett vanligt problem som kan uppstå vid t ex överföringar mellan konton som transaktioner skyddar mot. ,"Mention a common problem that can arise when, for example, transfers between accounts that transactions protect against.",Ett problem är att pengar dras från det ena kontot men aldrig sätts in på det andra (pga avbrott eller fel). ,One problem is that money is withdrawn from one account but never deposited into the other (due to interruption or error).,,,,
284,,9,essay,DBS,,Vad är SQL? ,What is SQL?,Structured Query Language (SQL) är ett deklarativt programmeringsspråk som används för att hämta och manipulera data i relationsdatabaser. ,Structured Query Language (SQL) is a declarative programming language used to retrieve and manipulate data in relational databases.,,,,
285,31,9,essay,TRN,,På vilka två sätt kan en transaktion avslutas? ,In what two ways can a transaction be terminated?,"En transaktion som lyckas avslutas med en commit, och en transaktion som misslyckas avslutas genom en rollback som gör transaktionens arbete ogjort. ","A transaction that succeeds ends with a commit, and a transaction that fails ends with a rollback that undoes the transaction's work.",,,,
286,31,9,essay,TRN,,Vad är en transaktion?,What is a transaction?,"En sekvens av databasoperationer, som alla tillsammans antingen ska lyckas eller misslyckas.","A sequence of database operations, which should all together either succeed or fail.",,,,
287,31,9,essay,TRN,,"En transaktion kan avslutas på två olika sätt, vilka?","A transaction can be terminated in two different ways, which ones?",Genom en commit eller en roll-back.,Through a commit or a roll-back. ,,,,
288,,9,essay,DBS,,Vad är ett databas-schema? ,What is a database schema?,En beskrivning av databasens struktur.,A description of the structure of the database.,,,,
289,,9,essay,DBS,,Vad är en databas?,What is a database?,En organiserad samling av data (hanterad av ett DBMS).,An organized collection of data (managed by a DBMS).,,,,
290,,9,essay,DBS,,Vad är en databasmodell?,What is a database model?,En konceptuell vy av databasen.,A conceptual view of the database.,,,,
291,,9,essay,DBS,,Nämn två saker som skiljer en objektorienterad databas från en relationsdatabas?,Name two things that differentiate an object-oriented database from a relational database?,Varje enhet lagras som ett objekt som kan innehålla metoder. DBMS upprätthåller länkar/referenser/pekare mellan objekt.,Each entity is stored as an object that can contain methods. DBMS maintains inter-object links/references/pointers.,,,,
292,30,9,essay,DMN,,Vad är data mining?,What is data mining?,Handlar om att upptäcka mönster i datasamlingar.,Deals with discovering patterns in collections of data.,,,,
293,,9,essay,DRM,,Vad representerar en tabell i relationsmodellen för databaser?,What does a table represent in the relational model for databases?,En relation.,A relation.,,,,
294,,9,essay,DRM,,Vad representerar en kolumn i en tabell i relationsmodellen för databaser?,What does a column in a table represent in the database relational model?,Ett attribut.,An attribute.,,,,
295,,9,essay,DRM,,Vad representerar en rad i en tabell i relationsmodellen för databaser?,What does a row in a table represent in the database relational model?,En instans.,An instance.,,,,
296,,9,essay,DRM,,Vilka är de tre relationsoperationerna i relationsmodellen för databaser?,What are the three relational operations in the relational model for databases?,"Select, project, join.","Select, project, join.",,,,
297,30,9,essay,DBS,,Vilka är de tre grundläggande relationsoperationerna för att ta fram efterfrågat data från en relationsdatabas?,What are the three basic relational operations for retrieving requested data from a relational database?,"Select, project och join.","Select, project and join.",,,,
298,30,9,essay,DBS,,Vad är ett schema i samband med ett databassystem? ,What is a schema in the context of a database system?,"Ett databasschema är en beskrivning av en databas struktur, vilket för relationsdatabaser är dess tabeller och kolumner. ","A database schema is a description of a database's structure, which for relational databases is its tables and columns.",,,,
299,30,9,essay,DBS,,Till vilken programmeringsparadigm hör databasfrågespråket SQL (structured query language)? ,To which programming paradigm does the database query language SQL (structured query language) belong?,Deklarativa programmeringsspråk (declarative programming languages). ,Declarative programming languages.,,,,
300,,10,essay,CMP,,Varför är det av intresse att känna till en algoritms effektivitetsklass/komplexitetsklass? ,Why is it of interest to know the efficiency class/complexity class of an algorithm?,"För att kunna jämföra olika algoritmers effektivitet, och kunna bedöma om en algoritm är användbar för stora mängder data. ","To be able to compare the effectiveness of different algorithms, and to be able to assess whether an algorithm is useful for large amounts of data.",,,,
301,,10,essay,TDG,,"Processen att skapa 3D-grafik består av tre steg, varav det första är 3D-modellering (3D modeling), och det tredje är bildvisning (display). Vad kallas det andra steget, och vad görs i det steget? ","The process of creating 3D graphics consists of three steps, the first of which is 3D modeling (3D modeling), and the third is image display (display). What is the second step called, and what is done in that step?","Rendrering (rendering), vilket handlar om att fastställa hur 3D-modellen skall visas när den projiceras på projektionsplanet (determining how the 3D-modell will appear when projected onto the projection plane). ","Rendering, which is about determining how the 3D model will appear when projected onto the projection plane.",,,,
302,,10,essay,ANM,,"I animationsprojekt utför man arbetet vanligtvis i tre steg, vilka? ","In animation projects, the work is usually carried out in three steps, which?","Storyboard, Key frames, In-betweening. ","Storyboard, Key frames, In-betweening. ",,,,
303,,10,essay,ANM,,"Två grenar inom området mekanik har visat sig särskilt användbara vid simulering av naturliga rörelser, vilka? ","Two branches of the field of mechanics have proven particularly useful in simulating natural motions, which?",Dynamik (dynamics) och kinematik (kinematics). ,Dynamics and kinematics.,,,,
304,,10,essay,TDG,,Nämn ett sätt att ta fram s.k. polygonal meshes vid 3D-modellering! ,Name a way to produce so-called polygonal meshes in 3D modeling!,Matematiska ekvationer; Bezier kurvor och ytor; proceduriella modeller. ,Mathematical equations; Bezier curves and surfaces; procedural models.,,,,
305,,10,essay,LIG,,Förklara kortfattat skillnaden mellan lokala ljusmodeller (local lightning model) och globala ljusmodeller (global lightning model). Vilken modell ger mest realistiskt resultat? Fördelen med den andra? ,Briefly explain the difference between local lighting models (local lightning model) and global lighting models (global lightning model). Which model gives the most realistic result? The advantage of the second?,"En lokal ljusmodell tar inte hänsyn till hur olika objekt påverkar varandra. En global ljusmodell gör det (eller försöker i alla fall). Ray-tracing är ett exempel på en algoritm som används för att beräkna en global ljusmodell. En global modell ger ett bättre, mer realistiskt resultat, men en lokal modell är enklare och mindre beräkningsintensiv. ","A local lighting model does not take into account how different objects affect each other. A global light model does (or at least tries to). Ray tracing is an example of an algorithm used to calculate a global light model. A global model gives a better, more realistic result, but a local model is simpler and less computationally intensive.",,,,
306,,10,essay,LIG,,"Inom datorgrafik spelar ljus en viktig roll. Ljus brukar delas in i tre (3) olika sorter, vilka? Vad skiljer dem åt? ","In computer graphics, light plays an important role. Light is usually divided into three (3) different kinds, which ones? What sets them apart?","Frågan handlar om olika typer av reflekterande ljus: Speglande ljus (specular light), som reflekteras utan att splittras upp; syns som en ljus skinande punkt på ett objekt och behåller ljuskällans färg. Syns tydligare på släta blanka ytor. Diffust ljus (diffuse light), som splittras upp och reflekteras åt många olika håll pga ojämnheter i det belysta objektets yta. Tar (delvis) färg från den reflekterade ytan. Bakgrundsljus (ambient light) som är ljus som finns i hela bilden och fördelas jämnt över alla objekt. Har inte någon bestämd källa. ","The question is about different types of reflective light: Specular light, which is reflected without splitting up; appears as a bright shining point on an object and retains the color of the light source. Visible more clearly on smooth shiny surfaces. Diffuse light, which splits up and is reflected in many different directions due to unevenness in the surface of the illuminated object. Takes (partial) color from the reflected surface. Background light (ambient light) which is light that is present throughout the image and is distributed evenly over all objects. Has no definite source.",,,,
307,,10,essay,ANM,,"Förklara hur begreppen frame, key frame och in-betweening som används inom animation hänger ihop? ","Explain how the terms frame, key frame and in-betweening used in animation are related?",Key frames – bildrutor som fångar scenen vid specifika tidpunkter. In-betweening – producerar bildrutor för att fylla gapet mellan key frames.,Key frames – frames capturing the scene at specific points in time. In-betweening – producing frames to fill the gap between key frames.,,,,
308,32,10,essay,TDG,,"Processen att skapa 3D-grafik består av två huvudsteg, vilka?","The process of creating 3D-graphics consists of two main steps, which ones?",Modellering och rendering.,Modeling and rendering.,,,,
309,,10,essay,LIG,,Vad kännetecknar en lokal belysningsmodell (local lighting model) inom datorgrafik?,What characterizes a local lighting model in computer graphics?,Den tar inte hänsyn till ljusinteraktioner mellan objekt.,It does not take into account light interactions between objects.,,,,
310,,10,essay,LIG,,Vad kännetecknar en global belysningsmodell (global lighting model) inom datorgrafik?,What characterizes a global lighting model in computer graphics?,"Den tar hänsyn till ljusinteraktioner mellan objekt, till exempel genom ray tracing.","It takes into account light interactions between objects, for example through ray tracing.",,,,
311,,11,essay,SER,,"Många svåra problem kan beskrivas som sökproblem, vilket innebär att man söker efter en lösning i ett sökträd. För att välja sökväg i sökträdet använder man sig av ”tumregler” (rules of thumb). Vad kallas sådana tumregler och varför behövs de? ","Many difficult problems can be described as search problems, which means that you search for a solution in a search tree. To select the path in the search tree, use ""rules of thumb"". What are such rules of thumb called and why are they needed?","Heuristik (heuristics), och de behövs för att sökträden för alla svåra problem blir extremt stor, vilket innebär att det är omöjligt att utforska hela sökträdet. ","Heuristics, and they are needed because the search trees for all hard problems become extremely large, which means that it is impossible to explore the entire search tree.",,,,
312,,11,essay,AI,,Vad är skillnaden mellan svag (weak) AI och stark (strong) AI? ,What is the difference between weak AI and strong AI?," Svag AI – datorer kan programmeras för att uppvisa ett intelligent beteende.
 Stark AI – datorer kan programmeras så att de får intelligens och medvetande.","Weak AI – computers can be programmed to exhibit intelligent behavior. 
Strong AI – computers can be programmed to gain intelligence and consciousness.",,,,
313,,11,essay,MCL,,Ett sätt att klassificera maskininlärningansatser (machine/computer learning approaches) är genom i vilken grad de kräver mänsklig inblandning. Vilka tre sådana klasser brukar man prata om? ,One way to classify machine / computer learning approaches is through the degree to which they require human intervention. What three such classes are we usually talking about?,Learning by imitation (lärande genom imitation); supervised learning (övervakat lärande); learning by reinforcement (lärande genom förstärkning). ,Learning by imitation; supervised learning; learning by reinforcement.,,,,
314,,11,essay,NEN,,Vad är ett artificiellt neuralt nätverk (artificial neural network) och hur förändras ett sådant nätverk under inlärning? ,What is an artificial neural network and how does such a network change during learning?,Ett artificiellt neuralt nätverk är en beräkningsmodell som efterliknar en hjärnas nätverk av neuroner. Ett artificiellt neuralt nätverk lär sig genom att justera vikterna i de olika neuronerna i nätverket. ,An artificial neural network is a computational model that mimics a brain's network of neurons. An artificial neural network learns by adjusting the weights in the different neurons in the network.,,,,
315,,11,essay,MCL,,Vad är skillnaden mellan övervakad inlärning (supervised learning) och oövervakad inlärning (unsupervised learning)? ,What is the difference between supervised learning and unsupervised learning?,I övervakad inlärning tränar man systemet med färdig klassificerad data (träningsdata). I oövervakad inlärning får systemet ingen träningsdata utan får själv analysera indata och hitta mönster. ,"In supervised learning, the system is trained with ready classified data (training data). In unsupervised learning, the system receives no training data, but must itself analyze the input data and find patterns.",,,,
316,,11,essay,MCL,,Är reinforcement learning en typ av övervakad inlärning (supervised learning) eller inte? Varför? ,Is reinforcement learning a type of supervised learning or not? Why?,"Reinforcement learning är oövervakad, och bygger på att systemet själv bedömer, utifrån en given generell regel, huruvida det har lyckats eller inte. ","Reinforcement learning is unsupervised, and is based on the system itself assessing, based on a given general rule, whether it has succeeded or not.",,,,
317,,11,essay,NEN,,Ett neuralt nätverk är en beräkningsmodell som inspirerats av hur den mänskliga hjärnan fungerar. Hur lär sig ett neuralt nätverk från exempeldata? ,A neural network is a computational model inspired by how the human brain works. How does a neural network learn from sample data?,Förenklat kan man säga att ett neuronnätverk lär sig från data genom att justera de vikter som är associerade med olika neuroner. ,"Put simply, a neural network learns from data by adjusting the weights associated with different neurons.",,,,
318,,11,essay,NLP,,Förklara kortfattat begreppen ”information retrieval” och ”information extraction” inom språkanalys (natural language processing)! ,"Briefly explain the concepts ""information retrieval"" and ""information extraction"" in language analysis (natural language processing)!","Information retrieval behandlar metoder för att identifiera dokument som behandlar en viss sökfråga eller ett visst ämne. Information extraction behandlar metoder för att extrahera information som är användbar för en viss applikation, t.ex. extrahera telefonnummer eller efternamn. ","Information retrieval deals with methods for identifying documents that deal with a particular search query or topic. Information extraction deals with methods for extracting information that is useful for a particular application, e.g. extract phone number or last name.",,,,
319,34,11,essay,NEN,,Vilka tre typer av lager (layers) finns i ett neuronnätverks (neural network) topologi? ,What three types of layers are there in a neural network's topology?,"Input layer, hidden layer och output layer. ","Input layer, hidden layer och output layer. ",,,,
320,,11,essay,AI,,Vad är ett sökträd inom AI?,What is a search tree in the context of AI? ,En trädstruktur av noder där varje nod representerar ett visst tillstånd och en lösning är en väg från rotnoden (som representerar det initiala tillståndet) till en målnod (som representerar det önskade tillståndet). ,A tree structure of nodes where each node represents a particular state and a solution is a path from the root node (representing the initial state) to a goal node (representing the desired state). ,,,,
321,34,11,essay,NLP,,"Vid behandling av naturligt språk utförs tre olika typer av analyser, vilka? ","In natural language processing, three different types of analysis are performed, which?","Syntaktisk analys, semantisk analys och kontextuell analys.","Syntactic analysis, semantic analysis and contextual analysis.",,,,
322,34,11,essay,AI,,Vad är Turing-testet?,What is the Turing test?,Ett test där en mänsklig förhörsledare ska försöka skilja på om testpersonen är mänsklig eller maskinell genom att kommunicera via textmeddelanden.,A test where a human interrogator must try to distinguish whether the test subject is human or machine by communicating via text messages.,,,,
323,,11,essay,AI,,Vad är definitionen av en intelligent agent (inom AI)?,What is the definition of an intelligent agent (in AI)?,En autonom målstyrd enhet som observerar med sensorer och agerar på en miljö med hjälp av ställdon (actuators).,An autonomous target-directed unit that observes with sensors and acts on an environment using actuators.,,,,
324,33,11,essay,MCL,,Vad kännetecknar supervised (machine) learning?,What characterizes supervised (machine) learning? ,En person identifierar rätt svar för ett antal exempel och agenten generaliserar från dessa exempel.,A person identifies the correct answer for a number of examples and the agent generalizes from these examples.,,,,
325,33,11,essay,MCL,,Vad kännetecknar (machine) learning by reinforcement?,What characterizes (machine) learning by reinforcement? ,Agenten får en allmän regel för att bedöma själv när den har lyckats eller misslyckats.,The agent is given a general rule to judge for itself when it has succeeded or failed.,,,,
326,33,11,essay,AI,,Vad är definitionen av en intelligent agent?,What is the definition of an intelligent agent?,En autonom målinriktad enhet som observerar med hjälp av sensorer och agerar på en miljö med hjälp av ställdon.,An autonomous goal-directed entity which observes using sensors and acts upon an environment using actuators.,,,,
327,33,11,essay,AI,,Vad är definitionen av en intelligent agent? ,What is the definition of an intelligent agent?,En autonom målinriktad entitet som observerar genom sensorer och agerar på en omgivning genom manövreringsorgan (autonomous goal-directed entity which observes using sensors and acts upon an environment using actuators). ,An autonomous goal-directed entity which observes using sensors and acts upon an environment using actuators (autonomous goal-directed entity which observes using sensors and acts upon an environment using actuators).,,,,
328,34,11,essay,SER,,"Vad är sök-heuristik (search heuristics), och vad kännetecknar bra sök-heuristik? ","What are search heuristics, and what characterizes good search heuristics?",Sök-heuristisk är tumregler för att nå ett övergripande sökmål. En bra heuristik är en tillräckligt bra uppskattning av närheten till sökmålet och förhållandevis enkel att beräkna. ,Search heuristics are rules of thumb for reaching an overall search goal. A good heuristic is a sufficiently good estimate of the proximity to the search target and relatively easy to calculate.,,,,
329,33,11,essay,SER,,Varför behövs sök-heurestik när man söker i ett sök-träd?,Why is search heuristics needed when searching in a search tree?,"För att sökträd för alla intressanta problem är så stora att det är praktiskt omöjligt att utforska hela sökträdet, och man därför behöver heurestik (tumregler) för att vägleda sökningen.","Because search trees for all interesting problems are so large that it is practically impossible to explore the entire search tree, and you therefore need rules of thumb to guide the search.",,,,
330,34,11,essay,SER,,Vad är skillnaden mellan en tillståndsgraf och ett sökträd?,What is the difference between a state graph and a search tree?,"En tillståndsgraf beskriver hur man går mellan alla möjliga olika tillstånd, medan ett sökträd beskriver de olika möjliga sökvägarna i en tillståndsgraf för att nå ett måltillstånd.","A state graph describes how to go between all possible different states, while a search tree describes the different possible search paths in a state graph to reach a goal state.",,,,
331,,12,essay,PRB,,"Vad är stopp-problemet (the halting problem), och varför är det intressant ur ett beräkningsteoretiskt perspektiv?","What is the halting problem (stopp-problemet), and why is it interesting from a computational theoretical perspective?","Stopp-problemet: Är det möjligt att inom ändlig tidsrymd med något program avgöra om ett godtyckligt program kommer att avslutas för godtyckliga indata? Stopp-problemet är olösbart, vilket visar att det finns problem som inte går att lösa (med algoritmer). ","The Halting Problem: Is it possible to determine in finite time with any program whether an arbitrary program will terminate for arbitrary input? The Stop problem is unsolvable, which shows that there are problems that cannot be solved (by algorithms).",,,,
332,,12,essay,CMP,,"Ordna följande komplexitets-/effektivitetsklasser (complexity/efficiency classes) från den mest effektiva till den minst effektiva: Θ(n^10), Θ(log n), Θ(n), Θ(2^n). ","Arrange the following complexity/efficiency classes from most efficient to least efficient: Θ(n^10), Θ(log n), Θ(n), Θ(2^n).","Θ(log n), Θ(n), Θ(n^10), Θ(2^n)","Θ(log n), Θ(n), Θ(n^10), Θ(2^n)",,,,
333,,12,essay,PRM,,Vad är en Turing-maskin och vad är dess syfte? ,What is a Turing machine and what is its purpose?,"En Turing-maskin är en matematisk modell av en dator, och syftet är att studera vilka problem som går att lösa med en dator. ","A Turing machine is a mathematical model of a computer, and the purpose is to study which problems can be solved with a computer.",,,,
334,,12,essay,CMP,,"Ordna följande komplexitets-/effektivitetsklasser (complexity/efficiency classes) från den mest effektiva till den minst effektiva: Θ(n^4), Θ(n), Θ(2^n), Θ(log n). ","Arrange the following complexity/efficiency classes from most efficient to least efficient: Θ(n^4), Θ(n), Θ(2^n), Θ(log n).","Θ(log n), Θ(n), Θ(n^4), Θ(2^n) ","Θ(log n), Θ(n), Θ(n^4), Θ(2^n) ",,,,
335,36,12,essay,PRB,,Vad innebär det att ett problem är ett polynomiellt problem (polynomial problem) (tillhör klassen polynomiella problem)? ,What does it mean that a problem is a polynomial problem (belongs to the class of polynomial problems)?,Att det finns en algoritm för att lösa problemet inom komplexitetsklass O(nx) för något x. ,That there is an algorithm to solve the problem within complexity class O(nx) for some x.,,,,
336,36,12,essay,PRB,,Är klassen av polynomiella problem P mindre eller lika med klassen av icke-deterministiskt polynomiella problem NP? Motivera ditt svar! ,Is the class of polynomial problems P less than or equal to the class of nondeterministic polynomial problems NP? Motivate your answer!,"Det är ett öppet problem. Ingen har lyckats visa vare sig att P är mindre än NP, eller att P är lika med NP. ","It is an open problem. No one has succeeded in showing either that P is less than NP, or that P is equal to NP.",,,,
337,,12,essay,CMP,,"Givet att komplexiteten för algoritm A är O(n), algoritm B är O(log n), algoritm C är O(n2) och algoritm D är O(n log n2), lista algoritmerna i ordning från den mest effektiva till den minst effektiva! ","Given that the complexity of Algorithm A is O(n), Algorithm B is O(log n), Algorithm C is O(n2), and Algorithm D is O(n log n2), list the algorithms in order from most to least efficient efficient!","B, A, D, C. ","B, A, D, C. ",,,,
338,,12,essay,CMP,,Ge exempel på tre komplexitetsklasser i O-notation och ordna dessa från mest effektiv till minst effektiv! ,Give examples of three complexity classes in O-notation and order these from most efficient to least efficient!,"Exempelvis: O(n), O(n2), O(2n). ","For example: O(n), O(n2), O(2n).",,,,
339,35,12,essay,PRB,,Varför är stopp-problemet (the halting problem) intressant ur ett beräkningsteoretiskt perspektiv?,Why is the halting problem interesting from a computational theoretical perspective?,"Stopproblemet är olösbart, vilket visar att det finns problem som inte går att lösa med algoritmer/program. ","The stopping problem is unsolvable, which shows that there are problems that cannot be solved by algorithms/programs.",,,,
340,36,12,essay,PRB,,Vad kännetecknar stopp-problemet (inom beräkningsteori).,What characterizes the halting problem (in theory of computation).,Att det inte är beräkningsbart (algoritmiskt lösbart).,That it is not computable (algorithmically solvable).,,,,
341,,12,essay,PRB,,Vad innebär det att en funktion är beräkningsbar?,What does it mean that a function is computable?,Att funktionen kan beräknas av någon algoritm.,That the function can be computed by some algorithm.,,,,
342,,12,essay,ALG,,Uppfyller icke-detministiska algoritmer definitionen av en algoritm? Motivera ditt svar!,Do non-deterministic algorithms meet the definition of an algorithm? Motivate your answer!,"Nej, för ibland är nästa steg inte unikt och helt bestämt av det aktuella tillståndet.","No, because sometimes the next step is not uniquely and completely determined by the current state.",,,,
343,35,12,essay,PRB,,Vad vet vi om förhållandet mellan polynomiella problem P och icke-deterministiskt polynomiella problem NP?,What do we know about the relation between polynomial problems P and non-deterministic polynomial problems NP?,"Alla problem i P ingår också i NP, men huruvida alla problem i NP också ingår i P är en öppen fråga.","All problems in P are also included in NP, but whether all problems in NP are also included in P is an open question.",,,,
344,35,12,essay,ALG,,Vad skiljer en deterministisk algoritm från en icke-deterministisk? ,What distinguishes a deterministic algorithm from a non-deterministic one?,En deterministisk algoritm ger alltid samma svar givet ett visst indata. En icke-deterministisk algoritm kan ge olika svar för samma indata. ,A deterministic algorithm always gives the same answer given a certain input. A non-deterministic algorithm can give different answers for the same input.,,,,
345,35,12,essay,PRM,,Vad är syftet med Turing-maskiner?,What is the purpose of Turing machines?,Det är ett verktyg för att studera datorers beräkningsförmåga (algoritmisk bearbetning).,It is a tool for studying the computing power of computers (algorithmic processing).,,,,
346,,9,essay,TRN,,På vilka två sätt kan en transaktion avslutas?,In what two ways can a transaction be terminated?,"En transaktion som lyckas avslutas med en commit, och en transaktion som misslyckas avslutas genom en rollback som gör transaktionens arbete ogjort. ","A transaction that succeeds ends with a commit, and a transaction that fails ends with a rollback that undoes the transaction's work.",,,,
347,26,7,matching,AGL,,"Vilka fyra av följande saker värdesätter de i Agile Manifesto?avtalsförhandlingar.,individer och interaktioner.,reagera på förändring.,kundsamarbete.,processer och verktyg.,fungerande programvara.,omfattande dokumentation.,följa en plan.","Which four of the following things do they value in the Agile Manifesto?
a) contract negotiations; b) individuals and interactions; c) responding to change;
d) customer collaboration; e) processes and tools; f) working software;
g) comprehensive documentation; h) following a plan.","individer och interaktioner,reagera på förändring,kundsamarbete,fungerande programvara.",b) individuals and interactions; c) responding to change; d) customer collaboration; f) working software.,,,,
348,,1,mq,TWO,,"Antag att vi har följande bitmönster och att de representerar heltal enligt tvåkomplementsnotation (two’s complement notation): ""0111 1111, 1111 1001, 1011 1111, 0010 0100, 1000 0001""","Suppose we have the following bit patterns and that they represent integers in two's complement notation: ""0111 1111, 1111 1001, 1011 1111, 0010 0100, 1000 0001""",0010 0100 _ 0111 1111,0010 0100 _ 0111 1111,Vilket av dessa bitmönster representerar det minsta heltalet? _ Vilket av dessa bitmönster representerar det största heltalet? ,Which of these bit patterns represents the smallest integer? _ Which of these bit patterns represents the largest integer?,"0111 1111, 1111 1001, 1011 1111, 1000 0001 _ 1111 1001, 1011 1111, 1000 0001, 0010 0100","0111 1111, 1111 1001, 1011 1111, 1000 0001 _ 1111 1001, 1011 1111, 1000 0001, 0010 0100"
349,,1,mq,COL,,Antag att 00FF00 är den hexadecimala notationen för ett bitmönster som representerar en pixel enligt RGB-standarden. ,Assume that 00FF00 is the hexadecimal notation for a bit pattern representing a pixel according to the RGB standard.,24 bitar/pixel. _ Grön,24 bits/pixel. _ Green,Vad har denna pixel för färgdjup (color depth)?  _ Vilken av följande färger har den pixeln? ,What color depth does this pixel have? _ Which of the following colors is that pixel?,"essay _ Vit, Svart, Röd, Blå, Gul, Cyan, Magenta","essay _ White, Black, Red, Blue, Yellow, Cyan, Magenta"
350,,1,mq,TWO,,"Antag att vi har följande bitmönster och att de representerar heltal enligt tvåkomplementsnotation (two’s complement notation):
1111 1110 0111 1111 0000 0000 0000 0001 1000 0000 1111 1111","Suppose we have the following bit patterns and that they represent integers in two's complement notation:
1111 1110 0111 1111 0000 0000 0000 0001 1000 0000 1111 1111",1111 1111. _ 0000 0001.,1111 1111. _ 0000 0001.,Vilket av dessa bitmönster representerar talet -1 (minus ett)? _ Vilket av dessa bitmönster representerar talet 1 (ett)? ,Which of these bit patterns represents the number -1 (minus one)? _ Which of these bit patterns represents the number 1 (one)?,"1111 1110, 0111 1111, 0000 0000, 0000 0001, 1000 0000 _ 1111 1110, 0111 1111, 0000 0000, 1000 0000, 1111 1111","1111 1110, 0111 1111, 0000 0000, 0000 0001, 1000 0000 _ 1111 1110, 0111 1111, 0000 0000, 1000 0000, 1111 1111"
351,,1,mq,TWO,,"Antag att vi har följande bitmönster och att de representerar heltal enligt tvåkomplementsnotation (two’s complement notation):
1111 0100 0111 0101 0000 1010 0000 1011 1000 1010 1111 0101","Suppose we have the following bit patterns and that they represent integers in two's complement notation:
1111 0100 0111 0101 0000 1010 0000 1011 1000 1010 1111 0101",0111 0101. _ 1000 1010. ,0111 0101. _ 1000 1010. ,Vilket av dessa bitmönster representerar det största talet? _ Vilket av dessa bitmönster representerar det minsta talet? ,Which of these bit patterns represents the largest number? _ Which of these bit patterns represents the smallest number?,"0111 0011, 0111 0001, 0110 1111 _ 1000 1011, 1001 0010, 1011 1101","0111 0011, 0111 0001, 0110 1111 _ 1000 1011, 1001 0010, 1011 1101"
352,,1,mq,DEC,,Antag att vi har följande bitmönster: 1000 0011. ,Suppose we have the following bit pattern: 1000 0011.,131. _ -125.,131. _ -125.,Vilket decimalt naturligt tal (noll eller positivt heltal) (unsigned integer) representerar bitmöntret ovan? _ Vilket decimalt heltal (signed integer) representerar bitmöntret ovan enligt tvåkomplementsnotation (two’s complement notation)? ,What decimal natural number (zero or positive integer) (unsigned integer) does the bit pattern above represent? _ Which decimal integer (signed integer) represents the bit pattern above according to two's complement notation?,essay _ essay,essay _ essay
353,,1,mq,TWO,,"Antag att vi har följande bitmönster och att de representerar heltal enligt tvåkomplementsnotation (two’s complement notation):
0111 0100, 0010 1001, 1100 0010, 1100 0100, 0011 0001","Suppose we have the following bit patterns and that they represent integers in two's complement notation:
0111 0100, 0010 1001, 1100 0010, 1100 0100, 0011 0001",0111 0100 _ 1100 0010,0111 0100 _ 1100 0010,Vilket av dessa bitmönster representerar det största talet? _ Vilket av dessa bitmönster representerar det minsta talet? ,Which of these bit patterns represents the largest number? _ Which of these bit patterns represents the smallest number?,"0010 1001, 1100 0010, 1100 0100, 0011 0001 _ 0010 1001, 1100 0010, 1100 0100, 0011 0001","0010 1001, 1100 0010, 1100 0100, 0011 0001 _ 0010 1001, 1100 0010, 1100 0100, 0011 0001"
354,,1,mq,COL,,"Antag att RGB-färgkoden för en pixel är CC3300 på hexadecimal form (basen 16), att pixeln ingår i ett foto taget med en 6 megapixel-kamera, och att fotot är lagrat som en bitmap (d.v.s. okomprimerad). ","Assume that the RGB color code of a pixel is CC3300 in hexadecimal (base 16) form, that the pixel is included in a photo taken with a 6 megapixel camera, and that the photo is stored as a bitmap (ie, uncompressed)."," CC16 =20410 (12*161 +12*160);3316 =5110 (3*161 +3*160);0016 =010 (0*161 +0*160) d.v.s. R = 204; G = 51; B = 0. _  CC3300 på hexadecimal form motsvarar bitmönstret 110011000011001100000000, vilket består av 24 bitar, d.v.s. pixelns färgdjup är 24 bitar. _ 24 bitar = 3 byte; antag 1k = 1000; då gäller 3 byte/pixel * 6 000 000 pixlar = 18 000 000 byte = 18 MB (megabyte); eller antag 1k = 1024; då gäller 3 byte/pixel * 6 291 456 pixlar = 18 874 368 byte = 18 MB (megabyte).","CC16 =20410 (12*161 +12*160);3316 =5110 (3*161 +3*160);0016 =010 (0*161 +0*160) i.e. R = 204; G = 51; B = 0. _ CC3300 in hexadecimal form corresponds to the bit pattern 110011000011001100000000, which consists of 24 bits, i.e. the color depth of the pixel is 24 bits. _ 24 bits = 3 bytes; assume 1k = 1000; then 3 bytes/pixel * 6,000,000 pixels = 18,000,000 bytes = 18 MB (megabytes); or assume 1k = 1024; then 3 bytes/pixel * 6,291,456 pixels = 18,874,368 bytes = 18 MB (megabytes).","Ange pixelns färgvärden för R (rött), G (grönt) och B (blått) på decimal form (basen 10)? _ Vad är pixelns färgdjup? _ Hur stor plats tar lagringen av fotot i MB (mega-byte)? ","Enter the pixel color values for R (red), G (green) and B (blue) in decimal form (base 10)? _ What is the color depth of the pixel? _ How much storage space does the photo take in MB (megabytes)?",essay _ essay _ essay,essay _ essay _ essay
